"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023272","1921-01","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","13",",X","9",",X","1",",X","","","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","3.9",",X,08,","","","0",",,X,31,+","61.0",",,X,17,","16.1",",X,04,","","","267.3",",X","160.2",",,,X","","","0",",,,X","9.71",",X","12.46",",,,X","6.96",",,,X","","","","","",""
"USW00023272","1921-02","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","8",",X","5",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","4.4",",X,15,","","","0",",,X,28,+","10.2",",,X,13,","20.6",",X,25,+","","","188.3",",X","35.2",",,,X","","","0",",,,X","11.61",",X","15.31",",,,X","7.91",",,,X","","","","","",""
"USW00023272","1921-03","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","9",",X","5",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","","","","","7.2",",X,29,","","","0",",,X,31,+","18.8",",,X,22,","22.8",",X,28,","","","180.1",",X","58.1",",,,X","","","0",",,,X","12.52",",X","15.79",",,,X","9.25",",,,X","","","","","",""
"USW00023272","1921-04","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","6.9","X","6.9",",X","4",",X","1",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","","","","","6.1",",X,04,","","","0",",,X,30,+","11.7",",,X,16,","30.0",",X,27,","","","174.9",",X","13.8",",,,X","","","0",",,,X","12.73",",X","16.76",",,,X","8.70",",,,X","","","","","",""
"USW00023272","1921-05","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","6.9","X","0.0",",X","7",",X","3",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","","","","","6.7",",X,02,+","","","0",",,X,31,+","3.8",",,X,01,","21.7",",X,11,","","","184.2",",X","13.2",",,,X","","","0",",,,X","12.39",",X","15.81",",,,X","8.98",",,,X","","","","","",""
"USW00023272","1921-06","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","23.9","X","17.0",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","11",",X","1",",X","","","","","9.4",",X,08,+","","","0",",,X,30,+","0.0",",T,X,29,+","32.2",",X,21,","","","77.2",",X","0.0",",T,,X","","","0",",,,X","16.33",",X","20.72",",,,X","11.93",",,,X","","","","","",""
"USW00023272","1921-07","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","48.0","X","24.1",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","7",",X","2",",X","","","","","10.0",",X,31,+","","","0",",,X,31,+","0.0",",,X,31,+","34.4",",X,06,","113.6","X","113.6",",X","0.0",",,,X","","","0",",,,X","15.45",",X","19.41",",,,X","11.48",",,,X","","","","","",""
"USW00023272","1921-08","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","49.1","X","1.1",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","","","","","10.6",",X,03,","","","0",",,X,31,+","0.0",",,X,31,+","25.0",",X,15,","208.4","X","94.8",",X","0.0",",,,X","","","0",",,,X","15.31",",X","18.57",",,,X","12.05",",,,X","","","","","",""
"USW00023272","1921-09","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","72.7","X","23.6",",X","3",",X","2",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","14",",X","2",",X","","","","","11.1",",X,16,+","","","0",",,X,30,+","5.1",",,X,17,","33.9",",X,28,","260.7","X","52.3",",X","8.9",",,,X","","","0",",,,X","17.38",",X","21.70",",,,X","13.05",",,,X","","","","","",""
"USW00023272","1921-10","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","81.6","X","8.9",",X","4",",X","3",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","","","","","10.0",",X,27,","","","0",",,X,31,+","4.6",",,X,26,+","29.4",",X,19,","330.1","X","69.4",",X","13.3",",,,X","","","0",",,,X","16.38",",X","20.05",",,,X","12.71",",,,X","","","","","",""
"USW00023272","1921-11","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","86.6","X","5.0",",X","5",",X","4",",X","0",",X","","","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","","","","","7.2",",X,20,+","","","0",",,X,30,+","15.5",",,X,22,","26.1",",X,04,","455.5","X","125.4",",X","36.4",",,,X","","","0",",,,X","14.32",",X","17.81",",,,X","10.82",",,,X","","","","","",""
"USW00023272","1921-12","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","86.6","X","0.0",",X","13",",X","11",",X","2",",X","","","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","6.7",",X,25,","","","0",",,X,31,+","51.6",",,X,26,","18.9",",X,03,","663.5","X","208.0",",X","162.3",",,,X","","","0",",,,X","11.62",",X","14.30",",,,X","8.94",",,,X","","","","","",""
"USW00023272","1922-01","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","8",",X","5",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","","","","","0.0",",X,19,","0",",,X,31,+","0",",T,X,29,","20.8",",,X,29,","16.1",",X,12,","977.9","X","314.4",",X","61.2",",,,X","","","0",",T,,X","8.19",",X","11.45",",,,X","4.93",",,,X","","","","","",""
"USW00023272","1922-02","37.7705","-122.4269","45.7","SAN FRANCISCO DOWNTOWN, CA US","0.0","X","0.0",",X","16",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","1","","3.3",",X,01,","0",",,X,28,+","0",",,X,28,+","29.0",",,X,08,","17.2",",X,28,","1207.8","X","229.9",",X","130.8",",,,X","","","0",",,,X","10.12",",X","13.20",",,,X","7.04",",,,X","","","","","",""
